name,date,temp,prcp,wdsp
GORZOW WLKP,2021-04-14,4,0.0,7.9
BIALYSTOK,2021-04-26,2,0.02,4
BIALYSTOK,2021-04-23,4,0.04,5.7
ZIELONA GORA,2021-01-30,-3,0.14,4.5
SZCZECIN,2021-04-24,6,,7.3
OPOLE,2021-04-08,3,0.02,7.9
GDANSK,2021-03-19,0,0.04,13.4
GORZOW WLKP,2021-04-08,4,0.02,8.1
KIELCE,2021-03-19,-2,0.0,3.6
ZIELONA GORA,2021-04-07,2,0.0,8
BIALYSTOK,2021-03-05,-2,0.01,3.6
GORZOW WLKP,2021-03-19,0,0.02,7
KATOWICE,2021-04-08,1,0.06,9.4
GORZOW WLKP,2021-04-03,4,0.0,7.3
GDANSK,2021-04-07,3,0.0,9.2
KIELCE,2021-04-07,-1,0.02,4.1
BIALYSTOK,2021-12-20,-2,0.12,6.6
BIALYSTOK,2021-04-03,3,0.02,4
OLSZTYN,2021-04-07,1,0.08,5.3
BIALYSTOK,2021-12-31,6,0.03,5.5
ZIELONA GORA,2021-02-20,8,0.0,5.4
GORZOW WLKP,2021-02-20,8,0.0,4.7
SZCZECIN,2021-02-13,-4,0.0,7.1
OPOLE,2021-02-21,5,0.0,8.4
GDANSK,2021-02-21,2,0.0,9.3
KIELCE,2021-09-03,13,0.0,2.6
BIALYSTOK,2021-01-06,0,0.19,4.4
KIELCE,2021-08-27,13,,2.3
LUBLIN,2021-09-03,14,0.0,7.7
OLSZTYN,2021-11-11,4,0.0,4.4
OLSZTYN,2021-11-13,5,,6.1
KIELCE,2021-09-14,15,0.1,2.3
KIELCE,2021-10-28,6,0.0,2
OLSZTYN,2021-09-16,15,0.01,3.4
OLSZTYN,2021-09-12,18,0.16,3.2
KIELCE,2021-12-15,0,1.18,1.4
BIALYSTOK,2021-08-15,19,0.0,3.3
KIELCE,2021-11-13,2,0.0,3.2
KIELCE,2021-11-03,8,0.56,4.9
ZIELONA GORA,2021-07-09,19,1.02,4.6
GORZOW WLKP,2021-07-19,18,0.0,6.5
KIELCE,2021-02-01,-9,0.0,4.5
OLSZTYN,2021-09-26,14,0.0,2.3
OPOLE,2021-04-20,8,0.07,3.3
KIELCE,2021-05-16,13,0.08,4.4
GORZOW WLKP,2021-02-01,-5,0.0,5.2
KIELCE,2021-09-10,15,0.0,3.2
BIALYSTOK,2021-09-10,15,0.0,1.5
OLSZTYN,2021-03-18,-1,0.0,4.4
GDANSK,2021-07-23,19,0.0,6.2
OLSZTYN,2021-10-02,10,0.0,6.1
BIALYSTOK,2021-12-15,1,0.02,3.6
GORZOW WLKP,2021-09-29,14,0.0,5.2
KIELCE,2021-07-23,19,0.0,1.6
GORZOW WLKP,2021-07-23,20,0.0,3
BIALYSTOK,2021-08-29,15,0.13,2
ZIELONA GORA,2021-05-14,11,0.0,6.5
KIELCE,2021-04-17,4,0.33,2.8
KIELCE,2021-07-19,20,0.0,5.1
GORZOW WLKP,2021-08-30,15,0.63,4.9
GDANSK,2021-09-29,12,0.0,13.1
GORZOW WLKP,2021-12-26,-10,0.0,2.3
SZCZECIN,2021-07-29,20,0.0,8.3
GDANSK,2021-01-01,-2,0.0,8.6
GDANSK,2021-03-25,6,0.0,6.3
LUBLIN,2021-07-30,23,0.0,7.7
LUBLIN,2021-09-04,13,0.0,4.6
OPOLE,2021-01-21,6,0.0,10.1
OPOLE,2021-06-22,23,0.0,5.3
OPOLE,2021-07-04,20,0.0,1.8
OPOLE,2021-10-20,16,0.0,10.1
KIELCE,2021-03-10,-3,0.0,2.4
KIELCE,2021-09-08,15,0.0,2.5
OLSZTYN,2021-04-12,9,0.0,9.5
ZIELONA GORA,2021-02-22,5,0.0,4.7
GORZOW WLKP,2021-01-06,0,0.22,3
GORZOW WLKP,2021-09-19,12,0.0,4.3
SZCZECIN,2021-09-26,17,0.0,5.8
GDANSK,2021-07-21,19,0.0,7.1
KIELCE,2021-03-15,2,0.0,2.3
KIELCE,2021-06-26,18,0.0,3.3
KIELCE,2021-08-07,17,0.17,4.1
ZIELONA GORA,2021-06-09,20,0.0,4.9
ZIELONA GORA,2021-12-15,6,0.0,5
GORZOW WLKP,2021-12-12,-1,0.0,3.8
SZCZECIN,2021-06-18,27,0.0,9.3
SZCZECIN,2021-07-28,20,0.0,5.7
SZCZECIN,2021-12-13,2,0.03,3.3
GDANSK,2021-09-15,16,0.0,5.3
GDANSK,2021-11-13,5,0.0,8.2
KIELCE,2021-01-04,1,,2.3
ZIELONA GORA,2021-02-03,6,0.13,5.5
GORZOW WLKP,2021-07-10,19,1.21,5.9
GORZOW WLKP,2021-10-09,8,0.0,5.4
SZCZECIN,2021-11-28,2,0.02,4.4
KIELCE,2021-10-24,3,0.0,2.6
BIALYSTOK,2021-03-26,4,0.0,3.3
BIALYSTOK,2021-08-13,17,0.0,2.4
BIALYSTOK,2021-12-30,-1,0.0,3.7
SZCZECIN,2021-08-15,18,0.0,5.8
KATOWICE,2021-02-18,2,0.19,5.2
KATOWICE,2021-03-10,-2,0.0,3.9
KATOWICE,2021-06-27,18,0.09,2.5
KATOWICE,2021-12-28,-5,0.0,7.3
LUBLIN,2021-03-03,2,0.0,2.7
KIELCE,2021-06-08,19,0.0,4.3
KIELCE,2021-08-11,18,0.15,4.1
OLSZTYN,2021-05-11,21,0.0,10
OLSZTYN,2021-09-30,10,0.02,4.8
ZIELONA GORA,2021-03-22,4,0.13,6.4
ZIELONA GORA,2021-07-13,24,0.05,4.9
ZIELONA GORA,2021-08-04,17,0.0,2.8
ZIELONA GORA,2021-09-09,19,0.0,4.6
BIALYSTOK,2021-10-06,12,0.0,7.9
LUBLIN,2021-07-18,25,0.0,5.6
OPOLE,2021-03-28,6,0.04,4.5
OPOLE,2021-05-31,13,0.0,4.2
OPOLE,2021-06-27,21,0.0,2.3
OPOLE,2021-11-10,7,0.0,7.8
OLSZTYN,2021-07-25,23,0.0,5
SZCZECIN,2021-09-02,16,0.0,4.7
LUBLIN,2021-06-17,20,0.0,3.2
LUBLIN,2021-10-22,10,0.0,15.9
OPOLE,2021-11-14,5,0.0,2.6
OPOLE,2021-12-12,-3,0.0,1.8
OPOLE,2021-12-13,-1,1.18,1.9
GORZOW WLKP,2021-08-03,17,0.0,4.4
GORZOW WLKP,2021-12-22,-2,0.0,3.1
BIALYSTOK,2021-03-10,-5,0.0,2.6
SZCZECIN,2021-10-08,12,0.0,4.7
SZCZECIN,2021-12-15,7,0.0,4.9
KATOWICE,2021-08-07,19,0.06,7.6
OPOLE,2021-03-07,2,0.0,5.8
OPOLE,2021-05-27,14,0.0,5.5
OLSZTYN,2021-08-05,17,0.0,4.1
OLSZTYN,2021-10-03,13,0.0,6.6
ZIELONA GORA,2021-12-29,3,0.16,4.5
KATOWICE,2021-10-05,17,0.0,9.7
KATOWICE,2021-11-10,5,0.0,4.9
KATOWICE,2021-12-14,1,0.0,2.4
LUBLIN,2021-01-01,1,0.0,6.1
OPOLE,2021-10-17,8,0.0,2.8
